ElevatorLimit_deg,FinalPitch_deg,MaxPitch_deg,MaxPitchRate_deg_s,MaxElevator_deg,SteadyStateError_deg,Overshoot_percent,SettlingTime_s
15,13.8888764290604,14.5614550570135,14.3326733066031,15,1.11112357093959,0,NaN
20,14.9984891605922,14.9984891605922,17.4187427192099,20,0.00151083940780694,0,5.41596411761132
25,14.9981717037123,14.9981717037123,18.4930734157095,25,0.00182829628770342,0,5.99091089096606
