Velocity_m_s,CL_required,CD,Drag_N,ThrustRequired_N,PowerRequired_W
20,3.02343159486017,0.436351237395941,1731.87806122449,1731.87806122449,34637.5612244898
21,2.74234158263961,0.363419681014344,1590.26001712539,1590.26001712539,33395.4603596331
22,2.4987037974051,0.305958430022499,1469.36230059875,1469.36230059875,32325.9706131725
23,2.28614865395854,0.26019140505984,1365.74533563761,1365.74533563761,31412.142719665
24,2.09960527420845,0.223375403836777,1276.67084807256,1276.67084807256,30640.1003537415
25,1.93499622071051,0.193489466837377,1199.93702168367,1199.93702168367,29998.4255420918
26,1.78901277802377,0.169025502396954,1133.75715013283,1133.75715013283,29477.6859034537
27,1.65894737715235,0.14884478800723,1076.66914616227,1076.66914616227,29070.0669463813
28,1.54256714023478,0.132078102195945,1027.46725572678,1027.46725572678,28769.0831603499
29,1.43801740540317,0.118055232620911,985.149961417712,985.149961417712,28569.3488811137
30,1.34374737549341,0.106254565411544,948.87983276644,948.87983276644,28466.3949829932
31,1.2584522767368,0.0962665959770818,917.952291937873,917.952291937873,28456.5210500741
32,1.18102796674225,0.0877672176202303,891.771102040816,891.771102040816,28536.6752653061
33,1.11053502106893,0.0804979614859258,869.828973877223,869.828973877223,28704.3561379484
34,1.04617010202774,0.0742512347069529,851.692105094979,851.692105094979,28957.5315732293
35,0.987242969750258,0.0688591906594589,836.98776616514,836.98776616514,29294.5718157799
36,0.933157899648199,0.0641852649554128,825.394265810028,825.394265810028,29714.193569161
37,0.88339856679625,0.0601176862517951,816.632788569975,816.632788569975,30215.4131770891
38,0.837515677246583,0.0565644629335212,810.460715713155,810.460715713155,30797.5071970999
39,0.795116790232785,0.0534494819549539,806.666129225704,806.666129225704,31459.9790398025
40,0.755857898715041,0.0507094523372463,805.063265306123,805.063265306123,32202.5306122449
41,0.719436429472972,0.0482914949223768,805.488734415405,805.488734415405,33025.0381110316
42,0.685585395659902,0.0461512300633965,807.798363656347,807.798363656347,33927.5312735666
43,0.654068489964341,0.0442512515303905,811.864547080744,811.864547080744,34910.175524472
44,0.624675949351274,0.0425599018764062,817.574012649688,817.574012649688,35973.2565565863
45,0.597221055774848,0.0410502845257371,824.825932618418,824.825932618418,37117.1669678288
46,0.571537163489634,0.03969946281624,833.530318284403,833.530318284403,38342.3946410825
47,0.547475164302429,0.0384878074987587,843.606651223312,843.606651223312,39649.5126074957
48,0.524901318552112,0.0373984627397986,854.982712018141,854.982712018141,41039.1701768707
49,0.503695392729724,0.0364169071895718,867.593574574051,867.593574574051,42512.0851541285
50,0.483749055177627,0.0355305916773361,881.380739795918,881.380739795918,44069.0369897959
51,0.464964489790106,0.0347286389544598,896.291386986657,896.291386986657,45710.8607363195
52,0.447253194505942,0.0340015938998096,912.277725033209,912.277725033209,47438.4417017268
53,0.43053493696834,0.033341214937765,929.296428462903,929.296428462903,49252.7107085339
54,0.414736844288089,0.0327402992504519,947.308145915568,947.308145915568,51154.6398794407
55,0.399792607584815,0.032192535808576,966.2770705958,966.2770705958,53145.238882769
56,0.385641785058695,0.0316923813872465,986.170563931695,986.170563931695,55225.5515801749
57,0.37222918988737,0.0312349556411894,1006.95882503918,1006.95882503918,57396.6530272333
58,0.359504351350793,0.0308159520388069,1028.61459972943,1028.61459972943,59659.6467843068
59,0.347421039340438,0.0304315620359376,1051.11292374384,1051.11292374384,62015.6625008864
60,0.335936843873352,0.0300784103382215,1074.43089569161,1074.43089569161,64465.8537414966
61,0.325012802457422,0.0297534994792552,1098.54747582701,1098.54747582701,67011.3960254475
62,0.3146130691842,0.0294541622485676,1123.44330735947,1123.44330735947,69653.485056287
63,0.30470462029329,0.0291780207532635,1149.10055745838,1149.10055745838,72393.3351198777
64,0.295256991685563,0.0289229511012644,1175.5027755102,1175.5027755102,75232.1776326531
65,0.286242044483803,0.028687052861362,1202.63476652125,1202.63476652125,78171.2598238815
66,0.277633755267233,0.0284686225928704,1230.48247784431,1230.48247784431,81211.8435377242
67,0.269408028056152,0.0282661308511497,1259.03289765032,1259.03289765032,84355.2041425716
68,0.261542525506935,0.0280782021691846,1288.27396377374,1288.27396377374,87602.6295366146
69,0.254016517106504,0.0279035975933314,1318.19448173751,1318.19448173751,90955.4192398884
70,0.246810742437565,0.0277411994162162,1348.78405091628,1348.78405091628,94414.8835641399
71,0.239907287828619,0.0275899978038978,1380.03299792745,1380.03299792745,97982.3428528492
72,0.23328947491205,0.0274490790597133,1411.93231645251,1411.93231645251,101659.126784581
73,0.226941759794345,0.0273176153052349,1444.47361278895,1444.47361278895,105446.573733593
74,0.220849641699063,0.0271948553907372,1477.64905651749,1477.64905651749,109346.030182295
75,0.214999580078945,0.0270801168745355,1511.45133574263,1511.45133574263,113358.850180697
76,0.209378919311646,0.0269727789333451,1545.87361642829,1545.87361642829,117486.39484855
77,0.203975820196334,0.0268722760851145,1580.90950540602,1580.90950540602,121730.031916264
78,0.198779197558196,0.0267780926221846,1616.55301668143,1616.55301668143,126091.135301151
79,0.193778663346269,0.026689757666572,1652.79854070699,1652.79854070699,130571.084715852
80,0.18896447467876,0.0266068407710779,1689.64081632653,1689.64081632653,135171.265306122
81,0.184327486350262,0.0265289480000893,1727.07490512914,1727.07490512914,139893.06731546
82,0.179859107368243,0.0264557184326486,1765.09616797885,1765.09616797885,144737.885774266
83,0.17555126113283,0.0263868210378397,1803.70024351173,1803.70024351173,149707.120211473
84,0.171396348914975,0.0263219518789623,1842.88302841409,1842.88302841409,154802.174386783
85,0.167387216324438,0.026260831608498,1882.6406593152,1882.6406593152,160024.456041792
86,0.163517122491085,0.0262032032206494,1922.96949614519,1922.96949614519,165375.376668486
87,0.159779711711463,0.0261488300323569,1963.86610682419,1963.86610682419,170856.351293705
88,0.156168987337818,0.0260974938672754,2005.32725316242,2005.32725316242,176468.798278293
89,0.152679287709136,0.0260489934202916,2047.34987786293,2047.34987786293,182214.139129801
90,0.149305263943712,0.0260031427828586,2089.9310925296,2089.9310925296,188093.798327664
91,0.146041859430512,0.0259597701117665,2133.06816659248,2133.06816659248,194109.203159915
92,0.142884290872409,0.025918716426015,2176.7585170711,2176.7585170711,200261.783570541
93,0.139828030748534,0.0258798345182356,2220.99969910421,2220.99969910421,206552.972016691
94,0.136868791075607,0.0258429879686724,2265.78939718083,2265.78939718083,212984.203334998
95,0.134002508359453,0.0258080502510981,2311.1254170141,2311.1254170141,219556.91461634
96,0.131225329638028,0.0257749039212374,2357.00567800454,2357.00567800454,226272.545088435
97,0.128533599526418,0.0257434398793248,2403.42820624427,2403.42820624427,233132.536005694
98,0.125923848182431,0.0257135566993482,2450.39112801851,2450.39112801851,240138.330545814
99,0.12339278011877,0.0256851600183448,2497.89266376414,2497.89266376414,247291.373712649
100,0.120937263794407,0.0256581619798335,2545.93112244898,2545.93112244898,254593.112244898
