Altitude_m,ThrustAvailable_N,StallSpeed_m_s,MaxRateOfClimb_m_s,MaxRateOfClimb_ft_min,BestClimbSpeed_m_s,MaxLevelFlightSpeed_m_s
0,1800,28.3945139999973,3.8467965248561,757.241895917923,52,82
1500,1508.8021783614,31.0137685176134,2.85918520706368,562.830608010485,53,81
3000,1264.71334079339,33.8746364056169,1.97181432997291,388.151650855167,55,80
4500,1060.112357551,36.9994053112591,1.159727225053,228.292304251684,57,77
