Command_deg,FinalPitch_deg,MaxPitch_deg,MaxPitchRate_deg_s,MaxElevator_deg,SteadyStateError_deg,Overshoot_percent,SettlingTime_s
5,4.99926145828981,4.99926145828981,6.39327079081027,15,0.000738541710185281,0,6.70192396243316
10,9.99887878194503,9.99887878194503,11.9539136000794,15,0.00112121805496912,0,5.79532467233332
15,13.8888764290604,14.5614550570135,14.3326733066031,15,1.11112357093959,0,NaN
